soil_ref,SID
1,001
2,002
3,003
4,003
5,001
6,002
7,004
8,004
9,003
10,005
11,003
12,004
13,004
14,003
15,001
16,005
17,005
18,002
19,003
20,001
21,003
22,003
23,004
24,005
25,002
26,001
27,003
28,001
29,002
30,001
31,003
32,001
33,003
34,005
35,004
36,002
37,003
38,005
39,003
40,001
41,002
42,003
43,003
44,005
45,004
46,005
47,002
48,001
49,004
50,004
51,002
52,002
53,001
54,004
55,002
56,004
57,005
58,005
59,003
60,004
61,003
62,006
63,001
64,003
65,002
66,007
67,005
68,008
69,005
70,003
71,004
72,005
73,004
74,003
75,004
76,004
77,008
78,007
79,003
80,005
81,004
82,003
83,005
84,001
85,003
86,001
87,002
88,001
89,003
90,001
91,002
92,003
93,003
94,003
95,004
96,003
97,005
98,005
99,005
100,002
101,004
102,005
103,001
104,002
105,003
106,006
107,008
108,008
109,002
110,009
111,010
112,011
113,012
114,013
115,007
116,006
117,014
118,011
119,008
120,008
121,009
122,010
123,012
124,010
125,002
126,001
127,003
128,003
129,010
130,002
131,003
132,001
133,006
134,004
135,003
136,005
137,001
138,002
139,003
140,004
141,003
142,008
143,005
144,011
145,008
146,005
147,008
148,011
149,014
150,005
151,005
152,003
153,005
154,004
155,004
156,008
157,010
158,003
159,005
160,004
161,003
162,004
163,004
164,007
165,010
166,009
167,010
168,003
169,001
170,002
171,007
172,011
173,008
174,005
175,007
176,010
177,011
178,010
179,011
180,008
181,012
182,008
183,005
184,006
185,010
186,011
187,010
188,008
189,005
190,011
191,008
192,010
193,011
194,006
195,010
196,006
197,008
198,009
199,012
200,014
201,007
202,012
203,014
204,008
205,007
206,004
207,003
208,004
209,008
210,005
211,007
212,004
213,008
214,005
215,010
216,004
217,008
218,008
219,011
220,010
221,005
222,011
223,008
224,010
225,014
226,009
227,009
228,003
229,004
230,008
231,003
232,008
233,005
234,004
235,010
236,010
237,003
238,003
239,011
240,007
241,005
242,003
243,005
244,005
245,007
246,010
247,005
248,007
249,012
250,005
251,010
252,004
253,007
254,011
255,010
256,008
257,003
258,004
259,011
260,004
261,003
262,005
263,011
264,007
265,004
266,005
267,003
268,009
269,012
270,003
271,004
272,014
273,005
274,003
275,008
276,004
277,015
278,010
279,005
280,015
281,010
282,011
283,008
284,011
285,004
286,008
287,010
288,010
289,005
290,008
291,011
292,011
293,011
294,011
295,003
296,004
297,004
298,008
299,007
300,004
301,008
302,008
303,004
304,004
305,007
306,008
307,005
308,004
309,005
310,010
311,008
312,015
313,011
314,015
315,008
316,011
317,010
318,004
319,003
320,007
321,008
322,004
323,008
324,004
325,005
326,011
327,007
328,011
329,008
330,004
331,011
332,005
333,011
334,008
335,010
336,007
337,009
338,010
339,004
340,005
341,006
342,010
343,014
344,010
345,008
346,003
347,004
348,005
349,006
350,011
351,011
352,008
353,010
354,005
355,010
356,005
357,005
358,005
359,010
360,008
361,011
362,005
363,004
364,003
365,016
366,012
367,015
368,005
369,011
370,007
371,010
372,004
373,005
374,009
375,009
376,015
377,015
378,003
379,004
380,012
381,010
382,013
383,011
384,005
385,010
386,012
387,014
388,014
389,010
390,011
391,005
392,003
393,004
394,007
395,008
396,004
397,007
398,008
399,014
400,005
401,008
402,005
403,008
404,010
405,004
406,007
407,007
408,004
409,008
410,004
411,008
412,015
413,010
414,011
415,008
416,010
417,015
418,011
419,015
420,008
421,011
422,010
423,011
424,008
425,015
426,010
427,008
428,015
429,011
430,005
431,004
432,004
433,008
434,003
435,003
436,005
437,003
438,004
439,005
440,005
441,003
442,004
443,008
444,009
445,004
446,007
447,010
448,010
449,005
450,008
451,010
452,011
453,011
454,004
455,004
456,011
457,008
458,005
459,012
460,011
461,005
462,011
463,015
464,013
465,011
466,007
467,005
468,010
469,008
470,007
471,011
472,007
473,010
474,006
475,009
476,014
477,012
478,010
479,007
480,003
481,004
482,017
483,008
484,013
485,005
486,005
487,003
488,008
489,004
490,007
491,010
492,004
493,008
494,008
495,003
496,007
497,004
498,005
499,003
500,008
501,008
502,005
503,012
504,011
505,010
506,011
507,008
508,004
509,009
510,008
511,004
512,008
513,010
514,005
515,011
516,008
517,011
518,005
519,015
520,008
521,007
522,004
523,010
524,015
525,008
526,011
527,015
528,010
529,008
530,011
531,008
532,011
533,015
534,010
535,008
536,010
537,015
538,011
539,008
540,010
541,005
542,011
543,007
544,004
545,007
546,009
547,005
548,007
549,010
550,011
551,015
552,005
553,010
554,010
555,010
556,017
557,003
558,004
559,007
560,011
561,005
562,016
563,011
564,010
565,004
566,010
567,005
568,017
569,008
570,007
571,012
572,010
573,005
574,009
575,004
576,003
577,013
578,005
579,008
580,008
581,003
582,004
583,010
584,009
585,011
586,012
587,010
588,010
589,012
590,005
591,009
592,012
593,014
594,009
595,010
596,008
597,017
598,011
599,007
600,008
601,009
602,004
603,008
604,007
605,005
606,003
607,012
608,008
609,007
610,004
611,008
612,004
613,005
614,008
615,004
616,005
617,008
618,005
619,008
620,011
621,010
622,005
623,012
624,014
625,009
626,010
627,011
628,008
629,008
630,015
631,011
632,008
633,010
634,011
635,015
636,011
637,008
638,008
639,010
640,015
641,011
642,010
643,011
644,008
645,004
646,012
647,008
648,004
649,012
650,010
651,007
652,010
653,011
654,010
655,011
656,009
657,012
658,005
659,015
660,010
661,016
662,008
663,010
664,009
665,007
666,004
667,004
668,003
669,011
670,014
671,011
672,004
673,010
674,007
675,010
676,007
677,017
678,009
679,010
680,016
681,005
682,012
683,007
684,004
685,004
686,012
687,003
688,003
689,007
690,005
691,013
692,015
693,003
694,010
695,008
696,011
697,015
698,008
699,011
700,004
701,008
702,010
703,013
704,012
705,004
706,010
707,008
708,003
709,004
710,004
711,007
712,008
713,005
714,009
715,004
716,008
717,007
718,008
719,004
720,007
721,008
722,004
723,007
724,005
725,008
726,010
727,011
728,005
729,008
730,011
731,005
732,011
733,008
734,010
735,008
736,010
737,011
738,015
739,015
740,008
741,011
742,007
743,015
744,008
745,010
746,011
747,010
748,015
749,015
750,010
751,008
752,007
753,004
754,008
755,007
756,003
757,007
758,008
759,011
760,010
761,005
762,010
763,005
764,012
765,004
766,010
767,008
768,007
769,013
770,012
771,010
772,012
773,005
774,017
775,009
776,014
777,009
778,009
779,012
780,011
781,005
782,010
783,010
784,003
785,005
786,005
787,012
788,004
789,012
790,010
791,003
792,005
793,005
794,011
795,010
796,013
797,004
798,008
799,004
800,014
801,004
802,009
803,015
804,013
805,012
806,015
807,008
808,010
809,011
810,008
811,008
812,003
813,004
814,008
815,004
816,003
817,013
818,003
819,007
820,012
821,009
822,004
823,004
824,008
825,007
826,004
827,008
828,005
829,010
830,004
831,008
832,005
833,010
834,008
835,011
836,010
837,005
838,008
839,011
840,005
841,008
842,005
843,011
844,008
845,011
846,011
847,008
848,014
849,009
850,009
851,010
852,015
853,011
854,008
855,010
856,008
857,015
858,011
859,008
860,010
861,010
862,011
863,008
864,015
865,004
866,013
867,008
868,007
869,004
870,007
871,003
872,008
873,007
874,011
875,011
876,010
877,010
878,005
879,004
880,005
881,010
882,015
883,011
884,010
885,005
886,007
887,010
888,003
889,003
890,004
891,013
892,008
893,005
894,010
895,010
896,004
897,008
898,005
899,010
900,004
901,003
902,008
903,004
904,015
905,013
906,006
907,009
908,005
909,013
910,010
911,005
912,012
913,004
914,012
915,009
916,009
917,009
918,013
919,007
920,004
921,011
922,003
923,010
924,008
925,004
926,007
927,004
928,008
929,004
930,007
931,008
932,007
933,008
934,004
935,004
936,008
937,007
938,008
939,004
940,007
941,005
942,010
943,011
944,004
945,008
946,007
947,005
948,011
949,008
950,011
951,005
952,004
953,004
954,008
955,005
956,010
957,008
958,011
959,005
960,005
961,011
962,010
963,008
964,015
965,011
966,015
967,004
968,007
969,008
970,010
971,015
972,008
973,010
974,011
975,008
976,015
977,010
978,011
979,010
980,008
981,015
982,010
983,008
984,015
985,013
986,005
987,004
988,008
989,010
990,010
991,008
992,004
993,009
994,003
995,003
996,004
997,008
998,010
999,007
1000,010
1001,015
1002,010
1003,011
1004,009
1005,011
1006,011
1007,013
1008,009
1009,010
1010,003
1011,010
1012,004
1013,004
1014,012
1015,015
1016,013
1017,003
1018,010
1019,008
1020,018
1021,019
1022,007
1023,008
1024,004
1025,009
1026,020
1027,019
1028,006
1029,012
1030,012
1031,012
1032,021
1033,022
1034,018
1035,005
1036,013
1037,009
1038,007
1039,021
1040,004
1041,004
1042,010
1043,022
1044,015
1045,007
1046,011
1047,003
1048,017
1049,010
1050,007
1051,007
1052,011
1053,015
1054,009
1055,017
1056,017
1057,012
1058,017
1059,003
1060,007
1061,004
1062,004
1063,007
1064,013
1065,017
1066,013
1067,008
1068,003
1069,008
1070,009
1071,010
1072,004
1073,007
1074,007
1075,008
1076,004
1077,009
1078,008
1079,004
1080,012
1081,009
1082,007
1083,007
1084,008
1085,010
1086,009
1087,012
1088,004
1089,007
1090,008
1091,004
1092,018
1093,021
1094,019
1095,019
1096,018
1097,021
1098,008
1099,008
1100,004
1101,007
1102,007
1103,004
1104,008
1105,011
1106,015
1107,008
1108,011
1109,010
1110,005
1111,004
1112,011
1113,008
1114,004
1115,007
1116,011
1117,008
1118,015
1119,015
1120,008
1121,010
1122,011
1123,011
1124,008
1125,005
1126,015
1127,017
1128,008
1129,017
1130,011
1131,015
1132,015
1133,008
1134,011
1135,011
1136,008
1137,015
1138,008
1139,015
1140,011
1141,008
1142,015
1143,007
1144,004
1145,008
1146,015
1147,007
1148,003
1149,013
1150,012
1151,003
1152,005
1153,015
1154,010
1155,010
1156,010
1157,004
1158,004
1159,010
1160,022
1161,007
1162,010
1163,017
1164,011
1165,011
1166,022
1167,019
1168,017
1169,010
1170,010
1171,017
1172,013
1173,004
1174,010
1175,017
1176,011
1177,020
1178,021
1179,015
1180,010
1181,013
1182,003
1183,003
1184,011
1185,015
1186,008
1187,011
1188,005
1189,004
1190,018
1191,010
1192,004
1193,013
1194,004
1195,020
1196,017
1197,011
1198,007
1199,017
1200,011
1201,004
1202,003
1203,012
1204,017
1205,013
1206,008
1207,005
1208,008
1209,008
1210,015
1211,005
1212,008
1213,008
1214,017
1215,010
1216,017
1217,010
1218,017
1219,017
1220,011
1221,005
1222,022
1223,017
1224,004
1225,010
1226,019
1227,021
1228,004
1229,003
1230,003
1231,013
1232,012
1233,008
1234,007
1235,004
1236,007
1237,004
1238,009
1239,010
1240,008
1241,003
1242,012
1243,012
1244,004
1245,007
1246,008
1247,007
1248,008
1249,004
1250,009
1251,004
1252,008
1253,007
1254,018
1255,019
1256,021
1257,021
1258,019
1259,018
1260,019
1261,021
1262,018
1263,018
1264,019
1265,021
1266,017
1267,011
1268,008
1269,007
1270,008
1271,011
1272,017
1273,015
1274,011
1275,008
1276,015
1277,017
1278,015
1279,008
1280,011
1281,017
1282,008
1283,011
1284,017
1285,015
1286,017
1287,011
1288,008
1289,015
1290,015
1291,008
1292,017
1293,011
1294,008
1295,011
1296,017
1297,008
1298,017
1299,011
1300,011
1301,008
1302,015
1303,015
1304,008
1305,011
1306,011
1307,008
1308,017
1309,011
1310,008
1311,015
1312,017
1313,011
1314,008
1315,015
1316,005
1317,003
1318,008
1319,013
1320,008
1321,010
1322,004
1323,022
1324,004
1325,010
1326,010
1327,004
1328,010
1329,017
1330,017
1331,010
1332,005
1333,003
1334,008
1335,010
1336,013
1337,006
1338,003
1339,012
1340,022
1341,010
1342,015
1343,004
1344,013
1345,008
1346,004
1347,010
1348,010
1349,005
1350,003
1351,010
1352,013
1353,009
1354,009
1355,021
1356,018
1357,008
1358,010
1359,023
1360,007
1361,010
1362,003
1363,010
1364,024
1365,022
1366,019
1367,020
1368,007
1369,003
1370,023
1371,022
1372,004
1373,015
1374,021
1375,010
1376,008
1377,010
1378,025
1379,026
1380,024
1381,019
1382,015
1383,011
1384,005
1385,009
1386,020
1387,004
1388,025
1389,026
1390,018
1391,015
1392,009
1393,022
1394,018
1395,019
1396,007
1397,003
1398,012
1399,009
1400,025
1401,004
1402,008
1403,008
1404,004
1405,007
1406,007
1407,004
1408,020
1409,010
1410,007
1411,004
1412,013
1413,003
1414,004
1415,005
1416,003
1417,008
1418,005
1419,004
1420,013
1421,026
1422,025
1423,026
1424,010
1425,008
1426,013
1427,003
1428,004
1429,008
1430,007
1431,018
1432,020
1433,022
1434,003
1435,004
1436,007
1437,008
1438,018
1439,021
1440,019
1441,007
1442,004
1443,008
1444,009
1445,012
1446,008
1447,012
1448,004
1449,007
1450,021
1451,019
1452,021
1453,019
1454,018
1455,019
1456,021
1457,021
1458,019
1459,022
1460,018
1461,018
1462,024
1463,021
1464,019
