soil_ref,SID
1465,022
1466,019
1467,018
1468,021
1469,011
1470,008
1471,017
1472,011
1473,017
1474,008
1475,015
1476,004
1477,008
1478,007
1479,004
1480,017
1481,011
1482,008
1483,011
1484,011
1485,008
1486,015
1487,008
1488,015
1489,017
1490,011
1491,008
1492,015
1493,011
1494,011
1495,008
1496,015
1497,008
1498,015
1499,011
1500,011
1501,008
1502,015
1503,008
1504,011
1505,017
1506,015
1507,008
1508,010
1509,015
1510,011
1511,004
1512,007
1513,008
1514,015
1515,011
1516,010
1517,005
1518,003
1519,008
1520,013
1521,010
1522,003
1523,009
1524,019
1525,010
1526,022
1527,009
1528,018
1529,020
1530,017
1531,008
1532,005
1533,013
1534,021
1535,020
1536,022
1537,023
1538,015
1539,017
1540,010
1541,017
1542,003
1543,018
1544,017
1545,017
1546,006
1547,011
1548,021
1549,010
1550,011
1551,019
1552,022
1553,018
1554,024
1555,023
1556,010
1557,015
1558,004
1559,023
1560,017
1561,017
1562,010
1563,020
1564,010
1565,010
1566,004
1567,021
1568,010
1569,010
1570,018
1571,020
1572,007
1573,024
1574,019
1575,017
1576,013
1577,022
1578,024
1579,022
1580,005
1581,003
1582,023
1583,013
1584,008
1585,003
1586,013
1587,009
1588,012
1589,016
1590,005
1591,025
1592,009
1593,008
1594,013
1595,026
1596,003
1597,004
1598,025
1599,008
1600,004
1601,003
1602,007
1603,007
1604,004
1605,008
1606,020
1607,013
1608,008
1609,005
1610,010
1611,009
1612,026
1613,005
1614,004
1615,007
1616,018
1617,020
1618,019
1619,021
1620,018
1621,019
1622,020
1623,018
1624,020
1625,019
1626,021
1627,019
1628,018
1629,022
1630,018
1631,021
1632,019
1633,019
1634,021
1635,018
1636,019
1637,018
1638,021
1639,019
1640,021
1641,021
1642,024
1643,019
1644,018
1645,020
1646,019
1647,021
1648,011
1649,008
1650,015
1651,010
1652,011
1653,008
1654,007
1655,008
1656,011
1657,017
1658,017
1659,011
1660,016
1661,011
1662,010
1663,015
1664,008
1665,017
1666,008
1667,015
1668,011
1669,011
1670,008
1671,017
1672,011
1673,017
1674,008
1675,008
1676,011
1677,017
1678,008
1679,011
1680,010
1681,017
1682,011
1683,008
1684,015
1685,008
1686,015
1687,011
1688,011
1689,003
1690,008
1691,022
1692,022
1693,023
1694,018
1695,004
1696,016
1697,008
1698,015
1699,017
1700,010
1701,022
1702,021
1703,022
1704,020
1705,021
1706,018
1707,015
1708,015
1709,010
1710,013
1711,023
1712,003
1713,023
1714,022
1715,023
1716,015
1717,005
1718,024
1719,010
1720,009
1721,010
1722,004
1723,012
1724,022
1725,010
1726,015
1727,010
1728,017
1729,010
1730,023
1731,020
1732,016
1733,023
1734,015
1735,010
1736,023
1737,024
1738,010
1739,016
1740,022
1741,011
1742,017
1743,003
1744,007
1745,020
1746,017
1747,013
1748,005
1749,010
1750,003
1751,022
1752,008
1753,003
1754,005
1755,008
1756,024
1757,013
1758,004
1759,020
1760,013
1761,024
1762,022
1763,005
1764,004
1765,008
1766,004
1767,008
1768,007
1769,004
1770,003
1771,005
1772,010
1773,003
1774,016
1775,004
1776,010
1777,008
1778,008
1779,013
1780,003
1781,004
1782,007
1783,004
1784,007
1785,008
1786,007
1787,004
1788,008
1789,004
1790,018
1791,020
1792,021
1793,018
1794,020
1795,019
1796,021
1797,018
1798,022
1799,020
1800,019
1801,021
1802,018
1803,018
1804,019
1805,021
1806,022
1807,023
1808,019
1809,020
1810,022
1811,018
1812,023
1813,024
1814,021
1815,021
1816,019
1817,018
1818,022
1819,023
1820,024
1821,021
1822,019
1823,018
1824,018
1825,019
1826,021
1827,020
1828,021
1829,019
1830,018
1831,008
1832,011
1833,010
1834,008
1835,011
1836,015
1837,007
1838,008
1839,004
1840,011
1841,017
1842,010
1843,015
1844,008
1845,011
1846,016
1847,017
1848,011
1849,017
1850,015
1851,008
1852,015
1853,008
1854,011
1855,011
1856,017
1857,017
1858,011
1859,008
1860,010
1861,008
1862,011
1863,017
1864,016
1865,008
1866,011
1867,017
1868,010
1869,015
1870,015
1871,008
1872,010
1873,011
1874,011
1875,015
1876,013
1877,010
1878,013
1879,018
1880,008
1881,021
1882,019
1883,020
1884,015
1885,010
1886,010
1887,008
1888,004
1889,005
1890,019
1891,023
1892,010
1893,010
1894,016
1895,015
1896,008
1897,012
1898,010
1899,022
1900,007
1901,020
1902,022
1903,023
1904,015
1905,016
1906,010
1907,010
1908,013
1909,019
1910,020
1911,024
1912,021
1913,017
1914,016
1915,003
1916,013
1917,005
1918,003
1919,008
1920,003
1921,013
1922,018
1923,024
1924,020
1925,017
1926,004
1927,022
1928,022
1929,015
1930,010
1931,019
1932,010
1933,015
1934,022
1935,021
1936,017
1937,003
1938,013
1939,020
1940,005
1941,005
1942,011
1943,023
1944,017
1945,005
1946,007
1947,016
1948,005
1949,003
1950,022
1951,013
1952,008
1953,003
1954,004
1955,004
1956,008
1957,007
1958,008
1959,004
1960,018
1961,021
1962,019
1963,022
1964,018
1965,020
1966,022
1967,019
1968,021
1969,021
1970,018
1971,019
1972,022
1973,018
1974,022
1975,020
1976,018
1977,022
1978,021
1979,018
1980,022
1981,019
1982,021
1983,019
1984,021
1985,022
1986,023
1987,018
1988,024
1989,024
1990,018
1991,023
1992,019
1993,021
1994,021
1995,018
1996,019
1997,018
1998,019
1999,021
2000,021
2001,019
2002,020
2003,018
2004,019
2005,018
2006,020
2007,021
2008,008
2009,008
2010,015
2011,011
2012,010
2013,008
2014,011
2015,017
2016,017
2017,011
2018,008
2019,010
2020,011
2021,008
2022,017
2023,008
2024,011
2025,017
2026,015
2027,010
2028,011
2029,008
2030,015
2031,010
2032,017
2033,011
2034,016
2035,017
2036,008
2037,011
2038,016
2039,008
2040,017
2041,011
2042,008
2043,017
2044,017
2045,011
2046,008
2047,003
2048,013
2049,003
2050,019
2051,021
2052,019
2053,020
2054,023
2055,024
2056,020
2057,023
2058,015
2059,010
2060,016
2061,016
2062,015
2063,016
2064,016
2065,005
2066,007
2067,020
2068,020
2069,022
2070,005
2071,022
2072,003
2073,007
2074,020
2075,017
2076,004
2077,011
2078,016
2079,008
2080,012
2081,017
2082,016
2083,016
2084,010
2085,015
2086,003
2087,013
2088,022
2089,023
2090,023
2091,005
2092,018
2093,021
2094,010
2095,010
2096,005
2097,019
2098,022
2099,023
2100,015
2101,013
2102,024
2103,015
2104,015
2105,010
2106,016
2107,015
2108,010
2109,008
2110,005
2111,024
2112,020
2113,013
2114,011
2115,010
2116,008
2117,010
2118,004
2119,003
2120,005
2121,004
2122,008
2123,010
2124,004
2125,008
2126,007
2127,004
2128,008
2129,018
2130,019
2131,022
2132,018
2133,022
2134,019
2135,019
2136,018
2137,021
2138,018
2139,020
2140,019
2141,018
2142,019
2143,022
2144,021
2145,018
2146,019
2147,019
2148,021
2149,018
2150,023
2151,019
2152,018
2153,024
2154,022
2155,021
2156,021
2157,018
2158,019
2159,023
2160,021
2161,018
2162,023
2163,019
2164,020
2165,021
2166,018
2167,023
2168,021
2169,018
2170,019
2171,023
2172,021
2173,023
2174,019
2175,018
2176,008
2177,016
2178,017
2179,017
2180,016
2181,008
2182,011
2183,011
2184,017
2185,016
2186,008
2187,011
2188,008
2189,016
2190,017
2191,015
2192,011
2193,015
2194,008
2195,017
2196,011
2197,017
2198,008
2199,008
2200,011
2201,017
2202,015
2203,010
2204,016
2205,016
2206,017
2207,011
2208,008
2209,008
2210,015
2211,011
2212,010
2213,015
2214,010
2215,011
2216,008
2217,008
2218,015
2219,003
2220,013
2221,013
2222,007
2223,021
2224,020
2225,021
2226,022
2227,024
2228,019
2229,022
2230,011
2231,008
2232,003
2233,020
2234,022
2235,023
2236,010
2237,010
2238,010
2239,017
2240,021
2241,022
2242,022
2243,022
2244,015
2245,010
2246,020
2247,011
2248,016
2249,005
2250,021
2251,022
2252,007
2253,022
2254,016
2255,015
2256,022
2257,016
2258,017
2259,020
2260,015
2261,018
2262,020
2263,017
2264,010
2265,027
2266,020
2267,008
2268,028
2269,019
2270,011
2271,028
2272,017
2273,020
2274,022
2275,024
2276,013
2277,010
2278,021
2279,020
2280,010
2281,015
2282,013
2283,003
2284,020
2285,005
2286,004
2287,008
2288,003
2289,004
2290,008
2291,010
2292,008
2293,004
2294,003
2295,007
2296,018
2297,022
2298,019
2299,021
2300,019
2301,021
2302,018
2303,020
2304,022
2305,019
2306,022
2307,021
2308,018
2309,018
2310,021
2311,022
2312,018
2313,019
2314,022
2315,021
2316,020
2317,018
2318,019
2319,021
2320,022
2321,018
2322,019
2323,021
2324,021
2325,019
2326,018
2327,018
2328,019
2329,018
2330,019
2331,021
2332,020
2333,018
2334,020
2335,021
2336,019
2337,022
2338,018
2339,021
2340,019
2341,021
2342,023
2343,018
2344,019
2345,018
2346,022
2347,021
2348,019
2349,023
2350,010
2351,008
2352,017
2353,017
2354,011
2355,008
2356,016
2357,008
2358,015
2359,010
2360,016
2361,017
2362,017
2363,016
2364,008
2365,011
2366,008
2367,010
2368,011
2369,016
2370,015
2371,015
2372,008
2373,011
2374,008
2375,011
2376,010
2377,015
2378,011
2379,008
2380,010
2381,011
2382,008
2383,016
2384,015
2385,008
2386,011
2387,015
2388,017
2389,011
2390,008
2391,011
2392,008
2393,017
2394,020
2395,019
2396,020
2397,028
2398,027
2399,023
2400,020
2401,015
2402,011
2403,017
2404,010
2405,017
2406,017
2407,020
2408,021
2409,023
2410,020
2411,022
2412,010
2413,010
2414,015
2415,010
2416,022
2417,015
2418,015
2419,017
2420,016
2421,017
2422,017
2423,010
2424,020
2425,016
2426,003
2427,005
2428,027
2429,020
2430,020
2431,007
2432,028
2433,018
2434,010
2435,019
2436,015
2437,004
2438,008
2439,010
2440,021
2441,015
2442,010
2443,011
2444,024
2445,029
2446,010
2447,016
2448,024
2449,013
2450,022
2451,027
2452,028
2453,022
2454,006
2455,020
2456,010
2457,008
2458,023
2459,011
2460,008
2461,004
2462,011
2463,007
2464,004
2465,008
2466,007
2467,018
2468,020
2469,018
2470,021
2471,019
2472,018
2473,019
2474,021
2475,018
2476,020
2477,022
2478,019
2479,018
2480,019
2481,021
2482,019
2483,021
2484,018
2485,018
2486,019
2487,019
2488,021
2489,027
2490,028
2491,019
2492,018
2493,021
2494,021
2495,019
2496,018
2497,019
2498,021
2499,023
2500,018
2501,018
2502,021
2503,023
2504,019
2505,022
2506,018
2507,021
2508,023
2509,019
2510,022
2511,018
2512,021
2513,019
2514,023
2515,022
2516,023
2517,019
2518,021
2519,015
2520,010
2521,008
2522,011
2523,017
2524,017
2525,011
2526,008
2527,015
2528,010
2529,011
2530,008
2531,010
2532,015
2533,008
2534,024
2535,010
2536,017
2537,011
2538,016
2539,016
2540,008
2541,017
2542,011
2543,016
2544,008
2545,011
2546,017
2547,015
2548,010
2549,008
2550,011
2551,016
2552,015
2553,011
2554,008
2555,015
2556,010
2557,017
2558,011
2559,017
2560,008
2561,017
2562,011
2563,008
2564,008
2565,011
2566,015
2567,008
2568,017
2569,013
2570,006
2571,008
2572,004
2573,013
2574,022
2575,020
2576,020
2577,022
2578,021
2579,020
2580,018
2581,017
2582,011
2583,010
2584,019
2585,021
2586,018
2587,020
2588,015
2589,017
2590,015
2591,017
2592,003
2593,010
2594,003
2595,022
2596,023
2597,022
2598,020
2599,016
2600,016
2601,003
2602,013
2603,013
2604,008
2605,022
2606,029
2607,004
2608,011
2609,008
2610,023
2611,010
2612,025
2613,003
2614,003
2615,010
2616,015
2617,007
2618,005
2619,026
2620,025
2621,010
2622,024
2623,029
2624,015
2625,010
2626,020
2627,015
2628,009
2629,026
2630,009
2631,022
2632,027
2633,016
2634,004
2635,023
2636,005
2637,010
2638,023
2639,010
2640,024
2641,008
2642,024
2643,028
2644,020
2645,010
2646,012
2647,020
2648,004
2649,020
2650,009
2651,008
2652,025
2653,004
2654,004
2655,008
2656,007
2657,003
2658,010
2659,018
2660,018
2661,019
2662,021
2663,022
2664,020
2665,018
2666,019
2667,019
2668,018
2669,023
2670,020
2671,018
2672,019
2673,022
2674,023
2675,020
2676,021
2677,018
2678,022
2679,023
2680,019
2681,021
2682,021
2683,018
2684,019
2685,018
2686,019
2687,021
2688,027
2689,019
2690,018
2691,027
2692,028
2693,021
2694,021
2695,019
2696,018
2697,019
2698,018
2699,019
2700,018
2701,023
2702,021
2703,021
2704,018
2705,023
2706,019
2707,019
2708,023
2709,021
2710,018
2711,023
2712,019
2713,018
2714,022
2715,020
2716,021
2717,010
2718,008
2719,011
2720,017
2721,016
2722,017
2723,011
2724,008
2725,015
2726,010
2727,017
2728,011
2729,008
2730,016
2731,011
2732,015
2733,008
2734,010
2735,017
2736,008
2737,016
2738,011
2739,017
2740,010
2741,008
2742,010
2743,015
2744,016
2745,008
2746,017
2747,011
2748,010
2749,008
2750,015
2751,017
2752,011
2753,011
2754,008
2755,017
2756,008
2757,011
2758,015
2759,010
2760,008
2761,015
2762,008
2763,011
2764,008
2765,003
2766,004
2767,005
2768,025
2769,026
2770,010
2771,008
2772,009
2773,026
2774,003
2775,007
2776,021
2777,022
2778,021
2779,022
2780,020
2781,022
2782,017
2783,016
2784,015
2785,010
2786,011
2787,005
2788,004
2789,003
2790,020
2791,021
2792,023
2793,020
2794,015
2795,010
2796,015
2797,024
2798,015
2799,017
2800,022
2801,024
2802,020
2803,024
2804,028
2805,023
2806,020
2807,011
2808,011
2809,003
2810,010
2811,009
2812,022
2813,020
2814,016
2815,008
2816,009
2817,025
2818,020
2819,022
2820,013
2821,025
2822,019
2823,022
2824,016
2825,008
2826,004
2827,009
2828,026
2829,012
2830,010
2831,015
2832,025
2833,012
2834,023
2835,021
2836,022
2837,015
2838,005
2839,020
2840,024
2841,020
2842,020
2843,026
2844,022
2845,017
2846,017
2847,010
2848,005
2849,024
2850,003
2851,013
2852,008
2853,005
2854,024
2855,023
2856,024
2857,023
2858,022
2859,005
2860,008
2861,009
2862,012
2863,010
2864,005
2865,004
2866,003
2867,003
2868,009
2869,004
2870,025
2871,007
2872,008
2873,007
2874,008
2875,004
2876,018
2877,020
2878,019
2879,018
2880,019
2881,020
2882,022
2883,021
2884,018
2885,019
2886,020
2887,022
2888,023
2889,018
2890,023
2891,022
2892,019
2893,021
2894,019
2895,021
2896,018
2897,022
2898,018
2899,019
2900,021
2901,024
2902,018
2903,019
2904,023
2905,022
2906,020
2907,021
2908,021
2909,019
2910,018
2911,020
2912,023
2913,020
2914,021
2915,019
2916,018
2917,023
2918,019
2919,018
2920,021
2921,021
2922,019
2923,018
2924,020
2925,018
2926,021
2927,019
2928,020
2929,023
2930,018
2931,021
2932,019
2933,023
2934,022
2935,018
2936,019
2937,023
2938,021
2939,019
2940,023
2941,018
2942,022
2943,020
2944,008
2945,015
2946,017
2947,011
2948,016
2949,011
2950,008
2951,016
2952,017
2953,008
2954,015
2955,017
2956,008
2957,017
2958,011
2959,010
2960,015
2961,017
2962,011
2963,008
2964,016
2965,016
2966,011
2967,010
2968,008
2969,017
2970,011
2971,017
2972,008
2973,008
2974,011
2975,017
2976,008
2977,011
2978,015
2979,011
2980,017
2981,008
2982,017
2983,008
2984,015
2985,011
2986,008
2987,011
2988,015
2989,008
2990,011
2991,025
2992,009
2993,008
2994,003
2995,005
2996,004
