Column_,Row,Grid_Code,Location,elevation,latitude,depth,PWP,FC,SAT,SWinit,OC_topsoil,OC_subsoil,BD_topsoil,BD_subsoil,Sand_topsoil,Clay_topsoil,Silt_topsoil,Sand_subsoil,Clay_subsoil,Silt_subsoil
46,53,53046,53_46,133,38.29,1.3,0.136,0.24,0.406,0.2088,0.63,0.31,1.6,1.45,65,10,25,60,30,10
46,54,54046,54_46,179,38.51,0.7,0.125,0.255,0.442,0.216,0.63,0.38,1.58,1.45,65,10,25,60,30,10
46,55,55046,55_46,176,38.73,1.3,0.095,0.163,0.409,0.1426,0.63,0.3,1.59,1.48,65,10,25,65,10,25
46,56,56046,56_46,62,38.95,1.3,0.095,0.186,0.432,0.1587,0.97,0.39,1.6,1.48,65,10,25,65,10,25
46,57,57046,57_46,112,39.17,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
46,58,58046,58_46,37,39.38,1.3,0.148,0.287,0.43,0.2453,0.86,0.4,1.4,1.4,60,30,10,60,30,10
46,59,59046,59_46,125,39.6,1.3,0.095,0.198,0.444,0.1671,0.7,0.4,1.4,1.38,65,10,25,65,10,25
46,60,60046,60_46,162,39.82,1.3,0.095,0.19,0.436,0.1615,0.7,0.4,1.6,1.48,65,10,25,65,10,25
46,61,61046,61_46,31,40.04,1.3,0.095,0.186,0.432,0.1587,0.97,0.39,1.6,1.48,65,10,25,65,10,25
46,62,62046,62_46,43,40.26,1.3,0.095,0.186,0.432,0.1587,0.86,0.39,1.6,1.48,65,10,25,65,10,25
46,63,63046,63_46,19,40.48,1.3,0.095,0.186,0.432,0.1587,0.7,0.39,1.71,1.71,65,10,25,65,10,25
46,64,64046,64_46,4,40.7,1.3,0.095,0.169,0.415,0.1468,0.4,0.21,1.71,1.71,65,10,25,65,10,25
47,47,47047,47_47,5,37.02,1.3,0.197,0.325,0.471,0.2866,0.65,0.43,1.24,1.23,35,35,30,35,35,30
47,48,48047,48_47,63,37.24,0.5,0.148,0.288,0.431,0.246,1,0.4,1.41,1.42,60,30,10,60,30,10
47,49,49047,49_47,158,37.46,0.5,0.148,0.288,0.431,0.246,1,0.4,1.41,1.42,60,30,10,60,30,10
47,50,50047,50_47,181,37.68,0.5,0.148,0.288,0.431,0.246,0.98,0.4,1.41,1.42,60,30,10,60,30,10
47,51,51047,51_47,166,37.9,1.3,0.186,0.309,0.454,0.2721,0.98,0.43,1.4,1.33,60,30,10,35,35,30
47,52,52047,52_47,166,38.12,1.3,0.186,0.309,0.454,0.2721,0.7,0.4,1.37,1.3,60,30,10,35,35,30
47,53,53047,53_47,203,38.34,0.7,0.118,0.248,0.45,0.209,0.63,0.38,1.41,1.38,60,30,10,65,10,25
47,54,54047,54_47,233,38.56,0.7,0.095,0.224,0.47,0.1853,0.63,0.37,1.59,1.48,65,10,25,65,10,25
47,55,55047,55_47,271,38.78,0.7,0.095,0.221,0.467,0.1832,0.55,0.38,1.59,1.48,65,10,25,65,10,25
47,56,56047,56_47,111,39,1.3,0.095,0.186,0.432,0.1587,0.7,0.39,1.6,1.48,65,10,25,65,10,25
47,57,57047,57_47,151,39.22,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
47,58,58047,58_47,113,39.44,1.3,0.095,0.186,0.432,0.1587,1.07,0.39,1.6,1.48,65,10,25,65,10,25
47,59,59047,59_47,192,39.66,0.7,0.148,0.252,0.395,0.2208,1.39,0.5,1.41,1.38,60,30,10,60,30,10
47,60,60047,60_47,256,39.88,1.3,0.148,0.233,0.376,0.2075,0.74,0.4,1.4,1.38,60,30,10,60,30,10
47,61,61047,61_47,136,40.1,1.3,0.148,0.243,0.386,0.2145,0.74,0.4,1.4,1.39,60,30,10,60,30,10
47,62,62047,62_47,61,40.32,1.3,0.095,0.19,0.436,0.1615,0.74,0.4,1.55,1.45,65,10,25,65,10,25
47,63,63047,63_47,44,40.53,1.3,0.095,0.2,0.446,0.1685,1.58,0.45,1.55,1.5,65,10,25,65,10,25
47,64,64047,64_47,6,40.75,1.3,0.148,0.236,0.379,0.2096,2.18,0.76,1.39,1.39,60,30,10,60,30,10
47,65,65047,65_47,96,40.97,1.3,0.148,0.274,0.417,0.2362,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,66,66047,66_47,49,41.19,1.3,0.148,0.274,0.417,0.2362,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,67,67047,67_47,31,41.41,1.3,0.148,0.236,0.379,0.2096,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,68,68047,68_47,36,41.63,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,69,69047,69_47,51,41.84,1.3,0.148,0.236,0.379,0.2096,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,70,70047,70_47,281,42.06,1.5,0.148,0.181,0.324,0.1711,1.61,0.64,1.38,1.39,60,30,10,60,30,10
47,72,72047,72_47,21,42.5,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,73,73047,73_47,38,42.71,0.5,0.148,0.31,0.453,0.2614,2.4,1.07,1.39,1.39,60,30,10,60,30,10
47,74,74047,74_47,83,42.93,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
47,75,75047,75_47,57,43.15,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,48,48048,48_48,30,37.29,1.3,0.095,0.173,0.419,0.1496,0.5,0.3,1.7,1.63,65,10,25,65,10,25
48,49,49048,49_48,118,37.51,0.5,0.148,0.288,0.431,0.246,1,0.37,1.4,1.38,60,30,10,60,30,10
48,50,50048,50_48,200,37.73,0.5,0.148,0.294,0.437,0.2502,0.98,0.4,1.43,1.44,60,30,10,60,30,10
48,51,51048,51_48,204,37.95,1.3,0.197,0.32,0.466,0.2831,0.96,0.4,1.37,1.3,35,35,30,35,35,30
48,52,52048,52_48,140,38.17,1.3,0.186,0.309,0.454,0.2721,0.7,0.4,1.4,1.33,60,30,10,35,35,30
48,53,53048,53_48,198,38.39,0.7,0.148,0.262,0.405,0.2278,0.83,0.4,1.4,1.33,60,30,10,60,30,10
48,54,54048,54_48,235,38.61,0.7,0.176,0.322,0.466,0.2782,0.63,0.38,1.41,1.38,60,30,10,35,35,30
48,55,55048,55_48,279,38.83,0.7,0.148,0.262,0.405,0.2278,0.98,0.4,1.41,1.38,60,30,10,60,30,10
48,56,56048,56_48,218,39.05,1.3,0.186,0.298,0.443,0.2644,0.96,0.4,1.4,1.33,60,30,10,35,35,30
48,57,57048,57_48,210,39.27,1.3,0.095,0.184,0.43,0.1573,0.7,0.38,1.6,1.48,65,10,25,65,10,25
48,58,58048,58_48,185,39.49,0.7,0.125,0.225,0.412,0.195,1.39,0.39,1.6,1.45,65,10,25,60,30,10
48,59,59048,59_48,298,39.71,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.35,60,30,10,60,30,10
48,60,60048,60_48,392,39.93,0.5,0.148,0.294,0.437,0.2502,1.45,0.6,1.41,1.39,60,30,10,60,30,10
48,61,61048,61_48,244,40.15,0.7,0.148,0.311,0.454,0.2621,1.04,0.41,1.41,1.42,60,30,10,60,30,10
48,62,62048,62_48,171,40.37,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,63,63048,63_48,296,40.59,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,64,64048,64_48,303,40.81,1.3,0.148,0.274,0.417,0.2362,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,65,65048,65_48,134,41.03,1.3,0.148,0.274,0.417,0.2362,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,66,66048,66_48,128,41.24,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,67,67048,67_48,83,41.46,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,68,68048,68_48,63,41.68,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,69,69048,69_48,131,41.9,1.3,0.148,0.256,0.399,0.2236,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,70,70048,70_48,66,42.12,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,71,71048,71_48,68,42.33,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,72,72048,72_48,31,42.55,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,73,73048,73_48,116,42.77,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,74,74048,74_48,283,42.99,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
48,75,75048,75_48,88,43.21,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,47,47049,47_49,4,37.12,1.3,0.095,0.173,0.419,0.1496,0.5,0.3,1.7,1.63,65,10,25,65,10,25
49,48,48049,48_49,36,37.34,1.3,0.095,0.173,0.419,0.1496,0.5,0.3,1.7,1.63,65,10,25,65,10,25
49,49,49049,49_49,133,37.56,0.5,0.148,0.288,0.431,0.246,1,0.37,1.4,1.38,60,30,10,60,30,10
49,50,50049,50_49,205,37.78,0.5,0.148,0.288,0.431,0.246,0.98,0.4,1.41,1.42,60,30,10,60,30,10
49,51,51049,51_49,200,38.01,0.7,0.176,0.295,0.439,0.2593,0.96,0.4,1.4,1.33,60,30,10,35,35,30
49,52,52049,52_49,170,38.23,0.7,0.148,0.348,0.491,0.288,0.83,0.4,1.41,1.42,60,30,10,60,30,10
49,53,53049,53_49,184,38.45,0.5,0.148,0.294,0.437,0.2502,0.98,0.4,1.41,1.42,60,30,10,60,30,10
49,54,54049,54_49,236,38.67,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
49,55,55049,55_49,308,38.89,0.5,0.148,0.308,0.451,0.26,0.83,0.4,1.4,1.33,60,30,10,60,30,10
49,56,56049,56_49,297,39.11,0.7,0.095,0.224,0.47,0.1853,0.7,0.4,1.59,1.48,65,10,25,65,10,25
49,57,57049,57_49,301,39.33,0.5,0.095,0.213,0.459,0.1776,0.7,0.31,1.6,1.58,65,10,25,65,10,25
49,58,58049,58_49,299,39.55,0.5,0.095,0.213,0.459,0.1776,0.7,0.31,1.6,1.51,65,10,25,65,10,25
49,59,59049,59_49,226,39.76,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
49,60,60049,60_49,393,39.98,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
49,61,61049,61_49,496,40.2,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,62,62049,62_49,293,40.42,0.7,0.095,0.234,0.48,0.1923,0.7,0.27,1.58,1.51,65,10,25,65,10,25
49,63,63049,63_49,369,40.64,0.7,0.148,0.311,0.454,0.2621,1.58,0.76,1.4,1.39,60,30,10,60,30,10
49,64,64049,64_49,432,40.86,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,65,65049,65_49,332,41.08,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,66,66049,66_49,229,41.3,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,67,67049,67_49,276,41.52,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,68,68049,68_49,218,41.74,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,69,69049,69_49,289,41.95,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,70,70049,70_49,99,42.17,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,71,71049,71_49,305,42.39,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,72,72049,72_49,176,42.61,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,73,73049,73_49,119,42.83,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,74,74049,74_49,314,43.04,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
49,75,75049,75_49,92,43.26,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,46,46050,46_50,38,36.95,1.3,0.095,0.173,0.419,0.1496,0.39,0.2,1.71,1.63,65,10,25,65,10,25
50,47,47050,47_50,47,37.17,1.3,0.095,0.173,0.419,0.1496,0.5,0.3,1.7,1.63,65,10,25,65,10,25
50,48,48050,48_50,45,37.39,1.3,0.197,0.335,0.481,0.2936,0.87,0.39,1.24,1.26,35,35,30,35,35,30
50,49,49050,49_50,173,37.61,0.5,0.148,0.288,0.431,0.246,1,0.4,1.41,1.42,60,30,10,60,30,10
50,50,50050,50_50,301,37.83,0.5,0.148,0.288,0.431,0.246,1,0.43,1.4,1.39,60,30,10,60,30,10
50,51,51050,51_50,306,38.06,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
50,52,52050,52_50,248,38.28,0.5,0.148,0.294,0.437,0.2502,1,0.4,1.41,1.42,60,30,10,60,30,10
50,53,53050,53_50,251,38.5,0.5,0.148,0.294,0.437,0.2502,1,0.4,1.41,1.42,60,30,10,60,30,10
50,54,54050,54_50,218,38.72,0.5,0.148,0.326,0.469,0.2726,0.65,0.43,1.41,1.39,60,30,10,60,30,10
50,55,55050,55_50,277,38.94,1.3,0.136,0.24,0.406,0.2088,0.65,0.4,1.4,1.38,65,10,25,60,30,10
50,56,56050,56_50,306,39.16,0.7,0.095,0.232,0.478,0.1909,0.7,0.38,1.58,1.45,65,10,25,65,10,25
50,57,57050,57_50,409,39.38,0.7,0.095,0.192,0.438,0.1629,0.7,0.27,1.58,1.51,65,10,25,65,10,25
50,58,58050,58_50,243,39.6,0.7,0.118,0.243,0.445,0.2055,0.74,0.4,1.43,1.42,60,30,10,65,10,25
50,59,59050,59_50,331,39.82,0.7,0.095,0.231,0.477,0.1902,0.7,0.27,1.58,1.5,65,10,25,65,10,25
50,60,60050,60_50,365,40.04,0.7,0.095,0.231,0.477,0.1902,0.7,0.27,1.58,1.51,65,10,25,65,10,25
50,61,61050,61_50,436,40.26,0.7,0.095,0.231,0.477,0.1902,0.7,0.27,1.58,1.51,65,10,25,65,10,25
50,62,62050,62_50,440,40.48,0.7,0.095,0.234,0.48,0.1923,0.7,0.27,1.58,1.51,65,10,25,65,10,25
50,63,63050,63_50,497,40.69,0.7,0.095,0.234,0.48,0.1923,0.7,0.27,1.58,1.51,65,10,25,65,10,25
50,64,64050,64_50,749,40.91,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,65,65050,65_50,369,41.13,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,66,66050,66_50,498,41.35,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,67,67050,67_50,486,41.57,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,68,68050,68_50,825,41.79,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,69,69050,69_50,686,42.01,0.7,0.148,0.264,0.407,0.2292,2.4,1.07,1.39,1.39,60,30,10,60,30,10
50,70,70050,70_50,274,42.23,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,71,71050,71_50,413,42.44,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,72,72050,72_50,440,42.66,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,73,73050,73_50,260,42.88,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,74,74050,74_50,278,43.1,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
50,75,75050,75_50,46,43.32,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,43,43051,43_51,32,36.34,0.5,0.148,0.334,0.477,0.2782,0.65,0.43,1.39,1.38,60,30,10,60,30,10
51,44,44051,44_51,21,36.56,1.3,0.197,0.335,0.481,0.2936,0.87,0.39,1.24,1.26,35,35,30,35,35,30
51,45,45051,45_51,24,36.78,1.3,0.197,0.326,0.472,0.2873,1.04,0.58,1.22,1.21,35,35,30,35,35,30
51,46,46051,46_51,3,37,1.3,0.197,0.326,0.472,0.2873,1.04,0.58,1.22,1.21,35,35,30,35,35,30
51,47,47051,47_51,20,37.22,1.3,0.095,0.193,0.439,0.1636,0.52,0.38,1.39,1.38,65,10,25,65,10,25
51,48,48051,48_51,112,37.44,1.3,0.197,0.326,0.472,0.2873,1.04,0.58,1.22,1.21,35,35,30,35,35,30
51,49,49051,49_51,302,37.66,0.5,0.148,0.288,0.431,0.246,0.98,0.4,1.43,1.44,60,30,10,60,30,10
51,50,50051,50_51,425,37.88,1.5,0.148,0.21,0.353,0.1914,1.61,0.64,1.38,1.39,60,30,10,60,30,10
51,51,51051,51_51,581,38.11,0.5,0.148,0.294,0.437,0.2502,0.98,0.4,1.43,1.44,60,30,10,60,30,10
51,52,52051,52_51,415,38.33,0.5,0.148,0.294,0.437,0.2502,1,0.4,1.41,1.42,60,30,10,60,30,10
51,53,53051,53_51,324,38.55,0.7,0.148,0.272,0.415,0.2348,0.98,0.42,1.4,1.38,60,30,10,60,30,10
51,54,54051,54_51,254,38.77,1.3,0.148,0.26,0.403,0.2264,0.65,0.4,1.4,1.38,60,30,10,60,30,10
51,55,55051,55_51,209,38.99,1.3,0.148,0.263,0.406,0.2285,0.6,0.4,1.41,1.41,60,30,10,60,30,10
51,56,56051,56_51,271,39.21,0.7,0.148,0.252,0.395,0.2208,0.96,0.4,1.41,1.39,60,30,10,60,30,10
51,57,57051,57_51,329,39.43,0.7,0.148,0.252,0.395,0.2208,1.39,0.5,1.41,1.42,60,30,10,60,30,10
51,58,58051,58_51,238,39.65,0.7,0.148,0.274,0.417,0.2362,0.7,0.4,1.43,1.42,60,30,10,60,30,10
51,59,59051,59_51,231,39.87,0.7,0.125,0.255,0.442,0.216,0.7,0.37,1.55,1.44,65,10,25,60,30,10
51,60,60051,60_51,409,40.09,0.7,0.095,0.231,0.477,0.1902,0.7,0.37,1.58,1.48,65,10,25,65,10,25
51,61,61051,61_51,496,40.31,0.7,0.095,0.231,0.477,0.1902,0.7,0.27,1.58,1.51,65,10,25,65,10,25
51,62,62051,62_51,700,40.53,0.7,0.095,0.234,0.48,0.1923,1.58,0.76,1.55,1.5,65,10,25,65,10,25
51,63,63051,63_51,448,40.75,0.7,0.095,0.179,0.425,0.1538,0.7,0.31,1.58,1.51,65,10,25,65,10,25
51,64,64051,64_51,646,40.97,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,65,65051,65_51,378,41.19,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
51,66,66051,66_51,644,41.4,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,67,67051,67_51,866,41.62,0.7,0.148,0.311,0.454,0.2621,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,68,68051,68_51,894,41.84,0.7,0.148,0.264,0.407,0.2292,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,69,69051,69_51,618,42.06,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,70,70051,70_51,350,42.28,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,71,71051,71_51,453,42.5,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,72,72051,72_51,531,42.72,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,73,73051,73_51,408,42.94,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
51,74,74051,74_51,383,43.15,0.5,0.148,0.31,0.453,0.2614,2.72,1.07,1.39,1.39,60,30,10,60,30,10
