Column_,Row,Grid_Code,Location,elevation,latitude,depth,PWP,FC,SAT,SWinit,OC_topsoil,OC_subsoil,BD_topsoil,BD_subsoil,Sand_topsoil,Clay_topsoil,Silt_topsoil,Sand_subsoil,Clay_subsoil,Silt_subsoil
42,48,48042,48_42,45,36.97,1.3,0.197,0.326,0.472,0.2873,1.04,0.58,1.22,1.21,35,35,30,35,35,30
42,49,49042,49_42,66,37.19,1.3,0.173,0.264,0.433,0.2367,0.96,0.4,1.6,1.45,65,10,25,35,35,30
42,56,56042,56_42,76,38.72,1.3,0.173,0.277,0.446,0.2458,0.7,0.43,1.39,1.38,65,10,25,35,35,30
42,57,57042,57_42,101,38.94,1.3,0.148,0.288,0.431,0.246,0.65,0.43,1.39,1.38,60,30,10,60,30,10
43,48,48043,48_43,2,37.03,1.3,0.197,0.261,0.407,0.2418,1.2,0.58,1.26,1.23,35,35,30,35,35,30
43,49,49043,49_43,77,37.25,0.5,0.197,0.363,0.509,0.3132,1.2,0.58,1.26,1.23,35,35,30,35,35,30
43,50,50043,50_43,60,37.47,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
43,51,51043,51_43,48,37.69,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
43,52,52043,52_43,33,37.91,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
43,54,54043,54_43,196,38.34,1.3,0.095,0.2,0.446,0.1685,1.43,0.58,1.55,1.5,65,10,25,65,10,25
43,55,55043,55_43,40,38.56,1.3,0.095,0.19,0.436,0.1615,0.7,0.4,1.6,1.48,65,10,25,65,10,25
43,56,56043,56_43,58,38.78,1.3,0.197,0.326,0.472,0.2873,0.7,0.43,1.39,1.38,35,35,30,35,35,30
43,57,57043,57_43,89,39,1.3,0.148,0.288,0.431,0.246,0.65,0.4,1.39,1.38,60,30,10,60,30,10
43,58,58043,58_43,47,39.22,0.7,0.095,0.221,0.467,0.1832,0.4,0.24,1.59,1.5,65,10,25,65,10,25
43,59,59043,59_43,30,39.44,1.3,0.095,0.18,0.426,0.1545,0.7,0.39,1.6,1.5,65,10,25,65,10,25
44,48,48044,48_44,21,37.08,1.3,0.197,0.3,0.446,0.2691,0.7,0.43,1.39,1.38,35,35,30,35,35,30
44,49,49044,49_44,95,37.3,0.5,0.148,0.288,0.431,0.246,1,0.4,1.4,1.38,60,30,10,60,30,10
44,50,50044,50_44,123,37.52,0.5,0.148,0.288,0.431,0.246,1,0.39,1.41,1.42,60,30,10,60,30,10
44,51,51044,51_44,133,37.74,0.5,0.148,0.294,0.437,0.2502,0.98,0.4,1.43,1.44,60,30,10,60,30,10
44,52,52044,52_44,120,37.96,1.3,0.095,0.186,0.432,0.1587,0.96,0.4,1.57,1.45,65,10,25,65,10,25
44,53,53044,53_44,59,38.18,1.3,0.095,0.186,0.432,0.1587,1,0.39,1.6,1.48,65,10,25,65,10,25
44,54,54044,54_44,8,38.4,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
44,55,55044,55_44,21,38.62,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
44,56,56044,56_44,1,38.84,1.3,0.095,0.227,0.473,0.1874,0.7,0.38,1.4,1.4,65,10,25,65,10,25
44,57,57044,57_44,28,39.06,1.3,0.148,0.287,0.43,0.2453,0.7,0.4,1.4,1.4,60,30,10,60,30,10
44,58,58044,58_44,87,39.27,1.3,0.095,0.188,0.434,0.1601,0.65,0.4,1.57,1.48,65,10,25,65,10,25
44,59,59044,59_44,35,39.49,1.3,0.095,0.186,0.432,0.1587,0.83,0.4,1.57,1.5,65,10,25,65,10,25
44,60,60044,60_44,82,39.71,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
45,47,47045,47_45,3,36.92,1.3,0.197,0.332,0.478,0.2915,0.52,0.38,1.23,1.23,35,35,30,35,35,30
45,48,48045,48_45,45,37.14,1.3,0.197,0.3,0.446,0.2691,1.2,0.58,1.26,1.24,35,35,30,35,35,30
45,49,49045,49_45,196,37.36,0.5,0.148,0.288,0.431,0.246,1,0.4,1.41,1.42,60,30,10,60,30,10
45,50,50045,50_45,242,37.58,0.5,0.148,0.288,0.431,0.246,1,0.4,1.41,1.42,60,30,10,60,30,10
45,51,51045,51_45,130,37.8,1.3,0.136,0.229,0.396,0.2011,0.65,0.37,1.6,1.45,65,10,25,60,30,10
45,52,52045,52_45,72,38.02,1.3,0.095,0.188,0.434,0.1601,0.7,0.39,1.6,1.48,65,10,25,65,10,25
45,53,53045,53_45,50,38.23,1.3,0.095,0.186,0.432,0.1587,0.7,0.4,1.6,1.48,65,10,25,65,10,25
45,54,54045,54_45,78,38.45,1.3,0.136,0.227,0.393,0.1997,0.7,0.39,1.6,1.45,65,10,25,60,30,10
45,55,55045,55_45,112,38.67,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
45,56,56045,56_45,34,38.89,1.3,0.095,0.186,0.432,0.1587,0.86,0.39,1.6,1.48,65,10,25,65,10,25
45,57,57045,57_45,26,39.11,1.3,0.095,0.19,0.436,0.1615,0.86,0.39,1.6,1.48,65,10,25,65,10,25
45,58,58045,58_45,69,39.33,1.3,0.148,0.276,0.419,0.2376,0.65,0.43,1.39,1.38,60,30,10,60,30,10
45,59,59045,59_45,173,39.55,1.3,0.197,0.261,0.407,0.2418,1.2,0.58,1.26,1.23,35,35,30,35,35,30
45,60,60045,60_45,67,39.77,1.3,0.095,0.186,0.432,0.1587,0.86,0.4,1.6,1.48,65,10,25,65,10,25
45,61,61045,61_45,30,39.99,1.3,0.095,0.186,0.432,0.1587,2.18,0.39,1.73,1.74,65,10,25,65,10,25
45,62,62045,62_45,24,40.2,1.3,0.148,0.288,0.431,0.246,0.65,0.43,1.39,1.38,60,30,10,60,30,10
46,47,47046,47_46,5,36.97,1.3,0.159,0.287,0.431,0.2486,0.83,0.4,1.39,1.33,35,35,30,60,30,10
46,48,48046,48_46,162,37.19,0.7,0.176,0.295,0.439,0.2593,1.2,0.58,1.39,1.33,60,30,10,35,35,30
46,49,49046,49_46,309,37.41,0.5,0.148,0.294,0.437,0.2502,1.39,0.6,1.41,1.42,60,30,10,60,30,10
46,50,50046,50_46,219,37.63,0.5,0.148,0.294,0.437,0.2502,0.98,0.4,1.41,1.42,60,30,10,60,30,10
46,51,51046,51_46,172,37.85,1.3,0.148,0.21,0.353,0.1914,0.96,0.4,1.41,1.35,60,30,10,60,30,10
46,52,52046,52_46,123,38.07,1.3,0.136,0.24,0.406,0.2088,0.63,0.38,1.39,1.33,65,10,25,60,30,10
